,GOV,Level of government,TAX,Tax revenue,VAR,Indicator,COU,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
18772,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NZL,New Zealand,2020,2020,USD,US Dollar,9,Billions,,,70.955,,
18824,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NOR,Norway,2016,2016,USD,US Dollar,9,Billions,,,143.387,,
18825,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NOR,Norway,2017,2017,USD,US Dollar,9,Billions,,,154.509,,
18826,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NOR,Norway,2018,2018,USD,US Dollar,9,Billions,,,171.988,,
18827,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NOR,Norway,2019,2019,USD,US Dollar,9,Billions,,,161.851,,
18828,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,NOR,Norway,2020,2020,USD,US Dollar,9,Billions,,,140.002,,
18854,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,POL,Poland,2016,2016,USD,US Dollar,9,Billions,,,157.669,,
18855,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,POL,Poland,2017,2017,USD,US Dollar,9,Billions,,,179.634,,
18856,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,POL,Poland,2018,2018,USD,US Dollar,9,Billions,,,206.453,,
18857,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,POL,Poland,2019,2019,USD,US Dollar,9,Billions,,,209.676,,
18858,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,POL,Poland,2020,2020,USD,US Dollar,9,Billions,,,214.428,,
18896,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,PRT,Portugal,2016,2016,USD,US Dollar,9,Billions,,,70.224,,
18897,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,PRT,Portugal,2017,2017,USD,US Dollar,9,Billions,,,75.347,,
18898,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,PRT,Portugal,2018,2018,USD,US Dollar,9,Billions,,,83.921,,
18899,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,PRT,Portugal,2019,2019,USD,US Dollar,9,Billions,,,82.63,,
18900,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,PRT,Portugal,2020,2020,USD,US Dollar,9,Billions,,,80.174,,
18922,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVK,Slovak Republic,2016,2016,USD,US Dollar,9,Billions,,,29.72,,
18923,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVK,Slovak Republic,2017,2017,USD,US Dollar,9,Billions,,,32.419,,
18924,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVK,Slovak Republic,2018,2018,USD,US Dollar,9,Billions,,,36.064,,
18925,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVK,Slovak Republic,2019,2019,USD,US Dollar,9,Billions,,,36.337,,
18926,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVK,Slovak Republic,2020,2020,USD,US Dollar,9,Billions,,,36.26,,
18964,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ESP,Spain,2016,2016,USD,US Dollar,9,Billions,,,413.833,,
18965,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ESP,Spain,2017,2017,USD,US Dollar,9,Billions,,,443.609,,
18966,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ESP,Spain,2018,2018,USD,US Dollar,9,Billions,,,492.227,,
18967,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ESP,Spain,2019,2019,USD,US Dollar,9,Billions,,,483.098,,
18968,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ESP,Spain,2020,2020,USD,US Dollar,9,Billions,,,468.14,,
19020,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SWE,Sweden,2016,2016,USD,US Dollar,9,Billions,,,227.509,,
19021,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SWE,Sweden,2017,2017,USD,US Dollar,9,Billions,,,238.603,,
19022,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SWE,Sweden,2018,2018,USD,US Dollar,9,Billions,,,243.205,,
19023,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SWE,Sweden,2019,2019,USD,US Dollar,9,Billions,,,228.739,,
19024,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SWE,Sweden,2020,2020,USD,US Dollar,9,Billions,,,230.494,,
19076,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHE,Switzerland,2016,2016,USD,US Dollar,9,Billions,,,185.357,,
19077,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHE,Switzerland,2017,2017,USD,US Dollar,9,Billions,,,192.672,,
19078,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHE,Switzerland,2018,2018,USD,US Dollar,9,Billions,,,197.199,,
19079,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHE,Switzerland,2019,2019,USD,US Dollar,9,Billions,,,200.193,,
19080,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHE,Switzerland,2020,2020,USD,US Dollar,9,Billions,,,207.496,,
19132,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,TUR,Turkey,2016,2016,USD,US Dollar,9,Billions,,,218.368,,
19133,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,TUR,Turkey,2017,2017,USD,US Dollar,9,Billions,,,211.975,,
19134,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,TUR,Turkey,2018,2018,USD,US Dollar,9,Billions,,,186.27,,
19135,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,TUR,Turkey,2019,2019,USD,US Dollar,9,Billions,,,175.734,,
19136,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,TUR,Turkey,2020,2020,USD,US Dollar,9,Billions,,,171.62,,
19188,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GBR,United Kingdom,2016,2016,USD,US Dollar,9,Billions,,,873.023,,
19189,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GBR,United Kingdom,2017,2017,USD,US Dollar,9,Billions,,,875.678,,
19190,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GBR,United Kingdom,2018,2018,USD,US Dollar,9,Billions,,,939.473,,
19191,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GBR,United Kingdom,2019,2019,USD,US Dollar,9,Billions,,,925.992,,
19192,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,GBR,United Kingdom,2020,2020,USD,US Dollar,9,Billions,,,887.766,,
19244,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,USA,United States,2016,2016,USD,US Dollar,9,Billions,,,4837.682,,
19245,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,USA,United States,2017,2017,USD,US Dollar,9,Billions,,,5217.633,,
19246,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,USA,United States,2018,2018,USD,US Dollar,9,Billions,,,5109.964,,
19247,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,USA,United States,2019,2019,USD,US Dollar,9,Billions,,,5336.458,,
19248,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,USA,United States,2020,2020,USD,US Dollar,9,Billions,,,5335.983,,
19275,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHL,Chile,2016,2016,USD,US Dollar,9,Billions,,,50.448,,
19276,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHL,Chile,2017,2017,USD,US Dollar,9,Billions,,,55.902,,
19277,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHL,Chile,2018,2018,USD,US Dollar,9,Billions,,,62.806,,
19278,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHL,Chile,2019,2019,USD,US Dollar,9,Billions,,,58.332,,
19279,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,CHL,Chile,2020,2020,USD,US Dollar,9,Billions,,,48.94,,
19301,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,EST,Estonia,2016,2016,USD,US Dollar,9,Billions,,,8.061,,
19302,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,EST,Estonia,2017,2017,USD,US Dollar,9,Billions,,,8.745,,
19303,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,EST,Estonia,2018,2018,USD,US Dollar,9,Billions,,,10.069,,
19304,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,EST,Estonia,2019,2019,USD,US Dollar,9,Billions,,,10.408,,
19305,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,EST,Estonia,2020,2020,USD,US Dollar,9,Billions,,,10.554,,
19327,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISR,Israel,2016,2016,USD,US Dollar,9,Billions,,,99.328,,
19328,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISR,Israel,2017,2017,USD,US Dollar,9,Billions,,,114.733,,
19329,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISR,Israel,2018,2018,USD,US Dollar,9,Billions,,,114.946,,
19330,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISR,Israel,2019,2019,USD,US Dollar,9,Billions,,,120.231,,
19331,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,ISR,Israel,2020,2020,USD,US Dollar,9,Billions,,,121.051,,
19353,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVN,Slovenia,2016,2016,USD,US Dollar,9,Billions,,,16.72,,
19354,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVN,Slovenia,2017,2017,USD,US Dollar,9,Billions,,,17.977,,
19355,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVN,Slovenia,2018,2018,USD,US Dollar,9,Billions,,,20.174,,
19356,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVN,Slovenia,2019,2019,USD,US Dollar,9,Billions,,,20.135,,
19357,NES,Total,TOTALTAX,Total tax revenue,TAXUSD,Total tax revenue in USD,SVN,Slovenia,2020,2020,USD,US Dollar,9,Billions,,,19.703,,
